Monguelfo-Tesido comune,Monguelfo-Tesido comune.1
(IT) Monguelfo-Tesido (DE) Welsberg-Taisten,(IT) Monguelfo-Tesido (DE) Welsberg-Taisten
,
Monguelfo-Tesido – VedutaPanoramica di Monguelfo dal monte Serla,Monguelfo-Tesido – VedutaPanoramica di Monguelfo dal monte Serla
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Dominik Oberstaller (SVP) dal 22-9-2020
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°45′24.83″N 12°06′15.67″E
Altitudine,1 087 m s.l.m.
Superficie,"46,44 km²"
Abitanti,2 905[1] (30-11-2025)
Densità,"62,55 ab./km²"
Frazioni,"Novale/Ried, Prati/Wiesen, Riva di Sotto/Unterrain"
Comuni confinanti,"Braies, Rasun-Anterselva, Valdaora, Valle di Casies, Villabassa"
Altre informazioni,Altre informazioni
Cod. postale,39035
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021052
Cod. catastale,F371
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 323 GG[3]"
Nome abitanti,"(IT) monguelfini, tesidesi (DE) Welsberger, Taistner"
Patrono,Margherita di Antiochia
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Monguelfo-Tesido,Monguelfo-Tesido
Monguelfo-Tesido – MappaPosizione del comune di Monguelfo-Tesido nella provincia autonoma di Bolzano,Monguelfo-Tesido – MappaPosizione del comune di Monguelfo-Tesido nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
