Scena comune,Scena comune.1
(IT) Scena (DE) Schenna,(IT) Scena (DE) Schenna
,
Scena – Veduta,Scena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Annelies Pichler (SVP) dal 22-9-2020 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°41′24.17″N 11°11′11.63″E
Altitudine,600 m s.l.m.
Superficie,"48,13 km²"
Abitanti,3 064[1] (30-11-2025)
Densità,"63,66 ab./km²"
Frazioni,"Montescena/Schennaberg, Talle/Tall, Verdins"
Comuni confinanti,"Avelengo, Caines, Merano, Rifiano, San Leonardo in Passiria, Sarentino, Tirolo"
Altre informazioni,Altre informazioni
Cod. postale,39017
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021087
Cod. catastale,I519
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 317 GG[3]"
Nome abitanti,(IT) scennesi (DE) Schennaner[4]
Cartografia,Cartografia
Scena,Scena
Scena – MappaPosizione del comune di Scena nella provincia autonoma di Bolzano,Scena – MappaPosizione del comune di Scena nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
