Tubre comune,Tubre comune.1
(IT) Tubre (DE) Taufers im Münstertal,(IT) Tubre (DE) Taufers im Münstertal
,
Tubre – VedutaIl centro di Tubre con la cima Greppi,Tubre – VedutaIl centro di Tubre con la cima Greppi
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Roselinde Gunsch Koch (SVP) dal 10-5-2015 (2º mandato dal 22-9-2020)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°38′44.2″N 10°27′50.95″E
Altitudine,1 240 m s.l.m.
Superficie,"46,27 km²"
Abitanti,961[1] (30-11-2025)
Densità,"20,77 ab./km²"
Frazioni,"Pontevilla/Puntweil, Rivaira/Rifair"
Comuni confinanti,"Glorenza, Malles Venosta, Prato allo Stelvio, Scuol (CH-GR), Stelvio, Val Müstair (CH-GR)"
Altre informazioni,Altre informazioni
Cod. postale,39020
Prefisso,0473
Fuso orario,UTC+1
Codice ISTAT,021103
Cod. catastale,L455
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 447 GG[3]"
Nome abitanti,(IT) tubresi (DE) Tauferer[4]
Cartografia,Cartografia
Tubre,Tubre
Tubre – MappaPosizione del comune di Tubre nella provincia autonoma di Bolzano,Tubre – MappaPosizione del comune di Tubre nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
