Cornedo all'Isarco comune,Cornedo all'Isarco comune.1
(IT) Cornedo all'Isarco (DE) Karneid,(IT) Cornedo all'Isarco (DE) Karneid
,
Cornedo all'Isarco – VedutaCornedo con lo Sciliar sullo sfondo,Cornedo all'Isarco – VedutaCornedo con lo Sciliar sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Albin Kofler (SVP) dal 22-9-2020 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°29′23.69″N 11°24′30.2″E
Altitudine,290 m s.l.m.
Superficie,"40,61 km²"
Abitanti,3 441[1] (30-11-2025)
Densità,"84,73 ab./km²"
Frazioni,"Briè/Breien, Cardano/Kardaun (sede comunale), Collepietra/Steinegg, Cornedo all'Isarco/Karneid, Prato all'Isarco/Blumau, San Valentino in Campo/Gummer[2]"
Comuni confinanti,"Bolzano, Fiè allo Sciliar, Nova Levante, Nova Ponente, Renon, Tires"
Altre informazioni,Altre informazioni
Cod. postale,39053
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021023
Cod. catastale,B799
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 833 GG[4]"
Nome abitanti,(IT) cornedesi (DE) Karneider[5]
Patrono,S. Vito
Cartografia,Cartografia
Cornedo all'Isarco,Cornedo all'Isarco
Cornedo all'Isarco – MappaLocalizzazione del comune di Cornedo all'Isarco nella provincia autonoma di Bolzano,Cornedo all'Isarco – MappaLocalizzazione del comune di Cornedo all'Isarco nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
