Campo di Trens comune,Campo di Trens comune.1
(IT) Campo di Trens (DE) Freienfeld,(IT) Campo di Trens (DE) Freienfeld
,
Campo di Trens – VedutaVeduta,Campo di Trens – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Verena Überegger (lista civica Freie Liste Freienfeld Wipptal) dal 26-5-2019 (2º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°52′36″N 11°29′06″E
Altitudine,937 m s.l.m.
Superficie,"95,39 km²"
Abitanti,2 802[1] (30-11-2025)
Densità,"29,37 ab./km²"
Frazioni,"Castelpietra/Schloss Sprechenstein, Rio/Bache, Pruno/Elzenbaum, Flanes/Flans, Dosso/Egg, Mules/Mauls, Novale Basso/Niederried, Partinges, Fuldres/Pfulters, Rizzolo/Ritzail, Stilves/Stilfes, Trens, Valgenauna/Valgenäun"
Comuni confinanti,"Fortezza, Racines, Rio di Pusteria, Sarentino, Val di Vizze, Vipiteno"
Altre informazioni,Altre informazioni
Cod. postale,39040
Prefisso,0472
Fuso orario,UTC+1
Codice ISTAT,021016
Cod. catastale,B529
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 639 GG[3]"
Nome abitanti,(IT) campotrensini (DE) Freienfelder[4]
Cartografia,Cartografia
Campo di Trens,Campo di Trens
Campo di Trens – MappaPosizione del comune di Campo di Trens nella provincia autonoma di Bolzano,Campo di Trens – MappaPosizione del comune di Campo di Trens nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
