San Candido comune,San Candido comune.1
(IT) San Candido (DE) Innichen,(IT) San Candido (DE) Innichen
(dettagli),(dettagli)
San Candido – Veduta,San Candido – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Klaus Rainer (SVP) dal 4-5-2025 (2º mandato)
Lingue ufficiali,"italiano, tedesco"
Territorio,Territorio
Coordinate,46°43′58.34″N 12°16′45″E
Altitudine,1 175 m s.l.m.
Superficie,"79,85 km²"
Abitanti,3 314[1] (30-11-2025)
Densità,"41,5 ab./km²"
Frazioni,"Monte San Candido, Prato alla Drava, Versciaco (di Sopra, di Sotto)"
Comuni confinanti,"Dobbiaco, Innervillgraten (AT-7), Sesto, Sillian (AT-7)"
Altre informazioni,Altre informazioni
Lingue,"italiano, tedesco"
Cod. postale,39038
Prefisso,0474
Fuso orario,UTC+1
Codice ISTAT,021077
Cod. catastale,H786
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 4 188 GG[3]"
Nome abitanti,(IT) sancandidesi (DE) Innichner
Patrono,san Candido
PIL procapite,(nominale) 34600
Soprannome,La perla delle Dolomiti
Cartografia,Cartografia
San Candido,San Candido
San Candido – MappaPosizione del comune di San Candido nella provincia autonoma di Bolzano,San Candido – MappaPosizione del comune di San Candido nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
