San Genesio Atesino comune,San Genesio Atesino comune.1
(IT) San Genesio Atesino (DE) Jenesien,(IT) San Genesio Atesino (DE) Jenesien
,
San Genesio Atesino – Veduta,San Genesio Atesino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Trentino-Alto Adige
Provincia,Bolzano
Amministrazione,Amministrazione
Sindaco,Paul Romen (SVP) dal 16-5-2010 (4º mandato dal 4-5-2025)
Lingue ufficiali,"Italiano, Tedesco"
Territorio,Territorio
Coordinate,46°32′06.13″N 11°19′52.98″E
Altitudine,1 087 m s.l.m.
Superficie,"68,84 km²"
Abitanti,3 028[1] (30-11-2025)
Densità,"43,99 ab./km²"
Frazioni,"Avigna/Afing, Cologna/Glaning, Montoppio/Nobls, Valas/Flaas[2]"
Comuni confinanti,"Bolzano, Meltina, Renon, Sarentino, Terlano"
Altre informazioni,Altre informazioni
Cod. postale,39050
Prefisso,0471
Fuso orario,UTC+1
Codice ISTAT,021079
Cod. catastale,H858
Targa,BZ
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona F, 4 073 GG[4]"
Nome abitanti,(IT) sangenesini (DE) Jenesier[5]
Cartografia,Cartografia
San Genesio Atesino,San Genesio Atesino
San Genesio Atesino – MappaPosizione del comune di San Genesio Atesino nella provincia autonoma di Bolzano,San Genesio Atesino – MappaPosizione del comune di San Genesio Atesino nella provincia autonoma di Bolzano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
