Galliera comune,Galliera comune.1
,
Galliera – Veduta,Galliera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Stefano Zanni (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°45′00″N 11°23′34″E
Altitudine,9 m s.l.m.
Superficie,"37,15 km²"
Abitanti,5 763[1] (30-11-2025)
Densità,"155,13 ab./km²"
Frazioni,"Bosco, Galliera, San Venanzio (sede comunale), San Vincenzo"
Comuni confinanti,"Malalbergo, Pieve di Cento, Poggio Renatico (FE), San Pietro in Casale, Terre del Reno (FE)"
Altre informazioni,Altre informazioni
Cod. postale,40015
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037028
Cod. catastale,D878
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 332 GG[3]"
Nome abitanti,gallierini
Patrono,"San Venanzio, Santi Vincenzo e Anastasio e Beata Vergine del Carmine"
Giorno festivo,"18 maggio (San Venanzio), 22 gennaio (San Vincenzo), 16 luglio (Galliera antica)"
Cartografia,Cartografia
Galliera,Galliera
Galliera – MappaPosizione del comune di Galliera nella città metropolitana di Bologna,Galliera – MappaPosizione del comune di Galliera nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
