Sasso Marconi comune,Sasso Marconi comune.1
,
Sasso Marconi – Veduta,Sasso Marconi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Roberto Parmeggiani (lista civica di centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,44°24′N 11°15′E
Altitudine,128 m s.l.m.
Superficie,"96,45 km²"
Abitanti,14 858[1] (30-11-2025)
Densità,"154,05 ab./km²"
Frazioni,"Capoluogo di Sasso Marconi (sede comunale), Borgonuovo-Pontecchio, Fontana, Badolo-Battedizzo, Tignano-Roma"
Comuni confinanti,"Bologna, Casalecchio di Reno, Marzabotto, Monte San Pietro, Monzuno, Pianoro, Zola Predosa"
Altre informazioni,Altre informazioni
Cod. postale,40037
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037057
Cod. catastale,G972
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 339 GG[3]"
Nome abitanti,sassesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Sasso Marconi,Sasso Marconi
Sasso Marconi – MappaPosizione del comune di Sasso Marconi nella città metropolitana di Bologna,Sasso Marconi – MappaPosizione del comune di Sasso Marconi nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
