Lizzano in Belvedere comune,Lizzano in Belvedere comune.1
,
Lizzano in Belvedere – VedutaLa parrocchiale di San Mamante,Lizzano in Belvedere – VedutaLa parrocchiale di San Mamante
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Barbara Franchi (Montagna Viva) dall'11-6-2024
Territorio,Territorio
Coordinate,44°10′N 10°54′E
Altitudine,640 m s.l.m.
Superficie,"85,45 km²"
Abitanti,2 294[1] (30-11-2025)
Densità,"26,85 ab./km²"
Frazioni,"Farnè, Gabba, La Cà, Madonna dell'Acero, Monteacuto, Pianaccio, Poggiolforato, Querciola, Rocca Corneta, Vidiciatico, Villaggio Europa"
Comuni confinanti,"Fanano (MO), Gaggio Montano, Montese (MO), Pistoia (PT), Alto Reno Terme, San Marcello Piteglio (PT), Sestola (MO)"
Altre informazioni,Altre informazioni
Cod. postale,40042
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037033
Cod. catastale,A771
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 066 GG[3]"
Nome abitanti,lizzanesi[4][5] o magoni[6][7]
Patrono,san Mamante
Giorno festivo,17 agosto
Cartografia,Cartografia
Lizzano in Belvedere,Lizzano in Belvedere
Lizzano in Belvedere – MappaPosizione del comune di Lizzano in Belvedere nella città metropolitana di Bologna,Lizzano in Belvedere – MappaPosizione del comune di Lizzano in Belvedere nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
