Calderara di Reno comune,Calderara di Reno comune.1
,
Calderara di Reno – Veduta,Calderara di Reno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Giampiero Falzone (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°33′50″N 11°16′19″E
Altitudine,30 m s.l.m.
Superficie,"40,75 km²"
Abitanti,13 788[1] (30-11-2025)
Densità,"338,36 ab./km²"
Frazioni,"Bargellino (Al Barżléin), Castel Campeggi (Castèl Canpèż), Lippo (Al Lépp), Longara (La Lunghêra), Sacerno (Sazêran), Tavernelle Emilia (Al Tavarnèl)"
Comuni confinanti,"Anzola dell'Emilia, Bologna, Castel Maggiore, Sala Bolognese"
Altre informazioni,Altre informazioni
Cod. postale,40012
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037009
Cod. catastale,B399
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 225 GG[3]"
Nome abitanti,calderaresi
Patrono,san Vitale
Giorno festivo,4 novembre
Cartografia,Cartografia
Calderara di Reno,Calderara di Reno
Calderara di Reno – MappaPosizione del comune di Calderara di Reno nella città metropolitana di Bologna,Calderara di Reno – MappaPosizione del comune di Calderara di Reno nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
