Monzuno comune,Monzuno comune.1
,
Monzuno – VedutaPanorama,Monzuno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Bruno Pasquini (lista civica di destra Dimmi) dal 27-5-2019 (2° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°17′N 11°16′E
Altitudine,621 m s.l.m.
Superficie,"65,01 km²"
Abitanti,6 442[1] (30-11-2025)
Densità,"99,09 ab./km²"
Frazioni,"Bologna, Brento, Ca' di Giulietta, Carbonarolo, Gabbiano, La Trappola, Lodole, Montorio, Pian di Lama, Rioveggio, San Niccolò, San Rocco, Selve, Trasasso, Vado, Valle"
Comuni confinanti,"Grizzana Morandi, Loiano, Marzabotto, Monghidoro, Pianoro, San Benedetto Val di Sambro, Sasso Marconi"
Altre informazioni,Altre informazioni
Cod. postale,40036
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037044
Cod. catastale,F706
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 835 GG[3]"
Nome abitanti,monzunesi
Patrono,san Luigi
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Monzuno,Monzuno
Monzuno – MappaPosizione del comune di Monzuno nella città metropolitana di Bologna,Monzuno – MappaPosizione del comune di Monzuno nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
