Casalecchio di Reno comune,Casalecchio di Reno comune.1
,
"Casalecchio di Reno – VedutaIl fiume Reno visto da Casalecchio di Reno, 2007","Casalecchio di Reno – VedutaIl fiume Reno visto da Casalecchio di Reno, 2007"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Matteo Ruggeri (PD) dal 25-6-2024
Territorio,Territorio
Coordinate,44°29′N 11°17′E
Altitudine,61 m s.l.m.
Superficie,"17,33 km²"
Abitanti,35 388[1] (30-11-2025)
Densità,"2 042,01 ab./km²"
Frazioni,"Calzavecchio, Ceretolo, Centro, Croce, Meridiana, San Biagio"
Comuni confinanti,"Bologna, Sasso Marconi, Zola Predosa"
Altre informazioni,Altre informazioni
Cod. postale,40033
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037011
Cod. catastale,B880
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 269 GG[3]"
Nome abitanti,casalecchiesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Casalecchio di Reno,Casalecchio di Reno
Casalecchio di Reno – MappaPosizione del comune di Casalecchio di Reno nella città metropolitana di Bologna,Casalecchio di Reno – MappaPosizione del comune di Casalecchio di Reno nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
