Casalfiumanese comune,Casalfiumanese comune.1
,
Casalfiumanese – Veduta,Casalfiumanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Beatrice Poli (PD) dal 27-5-2019
Territorio,Territorio
Coordinate,44°17′28.54″N 11°32′08.61″E
Altitudine,125[1] m s.l.m.
Superficie,"82,03 km²"
Abitanti,3 365[2] (30-11-2025)
Densità,"41,02 ab./km²"
Frazioni,"Gesso, San Martino in Pedriolo, Sassoleone"
Comuni confinanti,"Borgo Tossignano, Castel del Rio, Castel San Pietro Terme, Dozza, Fontanelice, Imola, Monterenzio"
Altre informazioni,Altre informazioni
Cod. postale,40020
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037012
Cod. catastale,B892
Targa,BO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 334 GG[4]"
Nome abitanti,casalesi
Patrono,san Gregorio Magno
Giorno festivo,12 marzo
Cartografia,Cartografia
Casalfiumanese,Casalfiumanese
Casalfiumanese – MappaPosizione del comune di Casalfiumanese nella città metropolitana di Bologna,Casalfiumanese – MappaPosizione del comune di Casalfiumanese nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
