Monghidoro comune,Monghidoro comune.1
,
"Monghidoro – VedutaEx chiostro di San Michele ad Alpes, detto La Cisterna","Monghidoro – VedutaEx chiostro di San Michele ad Alpes, detto La Cisterna"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Barbara Panzacchi (Monghidoro passione comune) dal 6-6-2016
Territorio,Territorio
Coordinate,44°13′N 11°19′E
Altitudine,841 m s.l.m.
Superficie,"48,29 km²"
Abitanti,3 924[1] (30-11-2025)
Densità,"81,26 ab./km²"
Frazioni,"Campeggio, Frassineta, Piamaggio, Vergiano, Ca del Costa"
Comuni confinanti,"Firenzuola (FI), Loiano, Monterenzio, Monzuno, San Benedetto Val di Sambro"
Altre informazioni,Altre informazioni
Cod. postale,40063
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037040
Cod. catastale,F363
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 351 GG[3]"
Nome abitanti,monghidoresi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Monghidoro,Monghidoro
Monghidoro – MappaPosizione del comune di Monghidoro nella città metropolitana di Bologna,Monghidoro – MappaPosizione del comune di Monghidoro nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
