Loiano comune,Loiano comune.1
,
Loiano – Veduta,Loiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Roberto Serafini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°16′N 11°19′E
Altitudine,714 m s.l.m.
Superficie,"52,41 km²"
Abitanti,4 581[1] (30-11-2025)
Densità,"87,41 ab./km²"
Frazioni,"Anconella, Barbarolo, Bibulano, Bibulano di Sopra, Ca' di Balloni, Ca' di Romagnolo, Ca' di Taddeo, Campi, Casoni, Farnè, Fornace, Gnazzano, Guarda, Molinelli, Poggiolo-Valle di Barbarolo, Quinzano, Roncastaldo, Roncobertolo, Sabbioni, Scascoli, Trebbo, Valle"
Comuni confinanti,"Monghidoro, Monterenzio, Monzuno, Pianoro"
Altre informazioni,Altre informazioni
Cod. postale,40050
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037034
Cod. catastale,E655
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 171 GG[3]"
Nome abitanti,loianesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Loiano,Loiano
Loiano – MappaPosizione del comune di Loiano nella città metropolitana di Bologna,Loiano – MappaPosizione del comune di Loiano nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
