Castel di Casio comune,Castel di Casio comune.1
,
Castel di Casio – VedutaI resti della torre medievale,Castel di Casio – VedutaI resti della torre medievale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Daniele Bertacci (lista civica Nuovo dialogo per Castel Di Casio) dall'11-06-2024
Territorio,Territorio
Coordinate,44°10′N 11°02′E
Altitudine,533 m s.l.m.
Superficie,"47,33 km²"
Abitanti,3 352[1] (30-11-2025)
Densità,"70,82 ab./km²"
Frazioni,"Suviana, Badi, Poggio di Badi, Poggiolino, Lizzo, Berzantina, Casola, Prati, Speranza, Lodio di Là, Faldo, Pian di Casale, Pida, Poggio, Marzolara, Ca' Mucci, Capanna Dé Moratti"
Comuni confinanti,"Alto Reno Terme, Camugnano, Gaggio Montano, Grizzana Morandi, Sambuca Pistoiese (PT)"
Altre informazioni,Altre informazioni
Cod. postale,40030
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037015
Cod. catastale,B969
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 634 GG[3]"
Nome abitanti,castellani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castel di Casio,Castel di Casio
Castel di Casio – MappaPosizione del comune di Castel di Casio nella città metropolitana di Bologna,Castel di Casio – MappaPosizione del comune di Castel di Casio nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
