Medicina comune,Medicina comune.1
,
Medicina – VedutaTorre dell'Orologio,Medicina – VedutaTorre dell'Orologio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Matteo Montanari (centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°29′N 11°38′E
Altitudine,25 m s.l.m.
Superficie,"159,11 km²"
Abitanti,16 823[1] (30-11-2025)
Densità,"105,73 ab./km²"
Frazioni,"Buda, Crocetta, Fantuzza, Fiorentina, Fossatone, Ganzanigo, Portonovo, San Martino, Sant'Antonio, Via Nuova, Villa Fontana"
Comuni confinanti,"Argenta (FE), Budrio, Castel Guelfo di Bologna, Castel San Pietro Terme, Imola, Molinella, Ozzano dell'Emilia"
Altre informazioni,Altre informazioni
Cod. postale,40059
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037037
Cod. catastale,F083
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 261 GG[3]"
Nome abitanti,medicinesi
Patrono,santa Lucia[4]
Giorno festivo,13 dicembre
Cartografia,Cartografia
Medicina,Medicina
Medicina – MappaPosizione del comune di Medicina nella città metropolitana di Bologna,Medicina – MappaPosizione del comune di Medicina nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
