Monte San Pietro comune,Monte San Pietro comune.1
(IT) Comune di Monte San Pietro,(IT) Comune di Monte San Pietro
,
Monte San Pietro – VedutaUna veduta dall'alto della frazione di Ponterivabella e di parte dell'agglomerato di Calderino,Monte San Pietro – VedutaUna veduta dall'alto della frazione di Ponterivabella e di parte dell'agglomerato di Calderino
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Capoluogo,Calderino
Sindaco,Monica Cinti (Partito Democratico) dal 27-5-2019
Lingue ufficiali,italiano
Territorio,Territorio
Coordinate del capoluogo,44°27′28.25″N 11°11′56.51″E
Altitudine,112 m s.l.m.
Superficie,"74,65 km²"
Abitanti,10 845[1] (30-11-2025)
Densità,"145,28 ab./km²"
Frazioni,"Calderino, Loghetto, Monte San Giovanni, Montepastore, San Lorenzo in Collina, San Martino in Casola"
Sottodivisioni ulteriori,36 località
Comuni confinanti,"Marzabotto, Sasso Marconi, Valsamoggia, Zola Predosa"
Altre informazioni,Altre informazioni
Cod. postale,40050
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037042
Cod. catastale,F627
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 316 GG[3]"
Nome abitanti,montesampietrini o sampietrini
Patrono,Beata Vergine Maria del Rosario
Giorno festivo,7 ottobre
PIL procapite,(nominale) 22 582 €
Cartografia,Cartografia
Calderino,Calderino
Monte San Pietro – MappaPosizione del comune di Monte San Pietro nella città metropolitana di Bologna,Monte San Pietro – MappaPosizione del comune di Monte San Pietro nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
