Imola comune,Imola comune.1
,
Imola – VedutaLa città vista dalla rocca sforzesca,Imola – VedutaLa città vista dalla rocca sforzesca
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Marco Panieri (PD) dal 23-9-2020
Territorio,Territorio
Coordinate,44°21′11″N 11°42′53″E
Altitudine,47 m s.l.m.
Superficie,"205,02 km²"
Abitanti,69 714[1] (30-11-2025)
Densità,"340,04 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Argenta (FE), Bagnara di Romagna (RA), Borgo Tossignano, Casalfiumanese, Castel Bolognese (RA), Castel Guelfo di Bologna, Conselice (RA), Dozza, Massa Lombarda (RA), Medicina, Mordano, Riolo Terme (RA), Solarolo (RA)"
Altre informazioni,Altre informazioni
Cod. postale,40026
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037032
Cod. catastale,E289
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 292 GG[3]"
Nome abitanti,imolesi
Patrono,"san Cassiano, san Pietro Crisologo, Madonna del Piratello"
Giorno festivo,13 agosto (per san Cassiano)
Cartografia,Cartografia
Imola,Imola
Imola – MappaPosizione del comune di Imola nella città metropolitana di Bologna,Imola – MappaPosizione del comune di Imola nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
