Vergato comune,Vergato comune.1
,
"Vergato – VedutaPanorama su Vergato e la valle del Reno dai Balzi di Santa Caterina, in cima a Montovolo","Vergato – VedutaPanorama su Vergato e la valle del Reno dai Balzi di Santa Caterina, in cima a Montovolo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Giuseppe Argentieri (lista civica di centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,44°17′07.53″N 11°05′49.99″E
Altitudine,193 m s.l.m.
Superficie,"59,94 km²"
Abitanti,7 957[1] (30-11-2025)
Densità,"132,75 ab./km²"
Frazioni,"Amore, Calvenzano, Carbona, Castelnuovo, Cereglio, Liserna, Orelia di sotto, Pieve di Roffeno, Pioppe di Salvaro, Prunarolo, Riola, Susano, Tabina, Tolè"
Comuni confinanti,"Castel d'Aiano, Gaggio Montano, Grizzana Morandi, Marzabotto, Valsamoggia, Zocca (MO)"
Altre informazioni,Altre informazioni
Cod. postale,40038
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037059
Cod. catastale,L762
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 431 GG[3]"
Nome abitanti,vergatesi
Patrono,Beata Vergine della Provvidenza
Giorno festivo,Prima domenica dopo Pasqua
Cartografia,Cartografia
Vergato,Vergato
Vergato – MappaPosizione del comune di Vergato nella città metropolitana di Bologna,Vergato – MappaPosizione del comune di Vergato nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
