Baricella comune,Baricella comune.1
,
Baricella – Veduta,Baricella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Omar Mattioli (centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°38′51″N 11°32′07″E
Altitudine,11 m s.l.m.
Superficie,"45,48 km²"
Abitanti,7 181[1] (30-11-2025)
Densità,"157,89 ab./km²"
Frazioni,"Boschi, Mondonuovo, Passo Segni, San Gabriele"
Comuni confinanti,"Argenta (FE), Budrio, Ferrara (FE), Malalbergo, Minerbio, Molinella, Poggio Renatico (FE)"
Altre informazioni,Altre informazioni
Cod. postale,40052
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037003
Cod. catastale,A665
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 172 GG[3]"
Nome abitanti,baricellesi
Patrono,natività B.V. Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Baricella,Baricella
Baricella – MappaPosizione del comune di Baricella nella città metropolitana di Bologna,Baricella – MappaPosizione del comune di Baricella nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
