Gaggio Montano comune,Gaggio Montano comune.1
,
"Gaggio Montano – VedutaIl Faro, simbolo del comune, sul Sasso di Rocca","Gaggio Montano – VedutaIl Faro, simbolo del comune, sul Sasso di Rocca"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Giuseppe Pucci (lista civica di centro Un impegno concreto) dal 4-10-2021
Territorio,Territorio
Coordinate,44°12′N 10°56′E
Altitudine,682 m s.l.m.
Superficie,"58,67 km²"
Abitanti,4 920[1] (30-11-2025)
Densità,"83,86 ab./km²"
Frazioni,"Affrico, Abetaia, Bombiana, Marano sul Reno, Pietracolora, Rocca Pitigliana, Silla, Santa Maria Villiana"
Comuni confinanti,"Castel d'Aiano, Castel di Casio, Grizzana Morandi, Lizzano in Belvedere, Montese (MO), Alto Reno Terme, Vergato"
Altre informazioni,Altre informazioni
Cod. postale,40041
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037027
Cod. catastale,D847
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 983 GG[3]"
Nome abitanti,gaggesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Gaggio Montano,Gaggio Montano
Gaggio Montano – MappaPosizione del comune di Gaggio Montano nella città metropolitana di Bologna,Gaggio Montano – MappaPosizione del comune di Gaggio Montano nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
