Pieve di Cento comune,Pieve di Cento comune.1
,
Pieve di Cento – VedutaChiesa Collegiata di Santa Maria Maggiore,Pieve di Cento – VedutaChiesa Collegiata di Santa Maria Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,"Luca Borsari (Democratici per Pieve, centro-sinistra) dal 27-5-2019 (2º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,44°42′47″N 11°18′30″E
Altitudine,18 m s.l.m.
Superficie,"15,94 km²"
Abitanti,7 416[1] (30-11-2025)
Densità,"465,24 ab./km²"
Frazioni,"Cantone, Borre"
Comuni confinanti,"Castello d'Argile, Cento (FE), Galliera, San Pietro in Casale, Terre del Reno"
Altre informazioni,Altre informazioni
Cod. postale,40066
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037048
Cod. catastale,G643
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 182 GG[3]"
Nome abitanti,pievesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Pieve di Cento,Pieve di Cento
Pieve di Cento – MappaPosizione del comune di Pieve di Cento nella città metropolitana di Bologna,Pieve di Cento – MappaPosizione del comune di Pieve di Cento nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
