Castiglione dei Pepoli comune,Castiglione dei Pepoli comune.1
,
Castiglione dei Pepoli – VedutaPiazza Marconi,Castiglione dei Pepoli – VedutaPiazza Marconi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Tommaso Tarabusi (lista civica di centro-sinistra) dall'11-6-2024
Territorio,Territorio
Coordinate,44°09′N 11°09′E
Altitudine,691 m s.l.m.
Superficie,"65,76 km²"
Abitanti,5 503[1] (30-11-2025)
Densità,"83,68 ab./km²"
Frazioni,"Baragazza, Creda, Lagàro, Rasora, San Giacomo, Sparvo. Località principali: Badia, Bagucci, Ca'di Landino, Ca' d'Onofrio, Monte Baducco, Monte Tavianella, Pignoli, Roncobilaccio, Setta, Spianamento, Valli"
Comuni confinanti,"Barberino di Mugello (FI), Camugnano, Firenzuola (FI), Grizzana Morandi, San Benedetto Val di Sambro, Vernio (PO)"
Altre informazioni,Altre informazioni
Cod. postale,40035
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037022
Cod. catastale,C296
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 876 GG[3]"
Nome abitanti,castiglionesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Castiglione dei Pepoli,Castiglione dei Pepoli
Castiglione dei Pepoli – MappaPosizione del comune di Castiglione dei Pepoli nella città metropolitana di Bologna,Castiglione dei Pepoli – MappaPosizione del comune di Castiglione dei Pepoli nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
