Budrio comune,Budrio comune.1
,
"Budrio – VedutaPiazza Quirico Filopanti e sullo sfondo il Palazzo Comunale o ""Palazzo Torre"".","Budrio – VedutaPiazza Quirico Filopanti e sullo sfondo il Palazzo Comunale o ""Palazzo Torre""."
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Debora Badiali (centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,44°32′16″N 11°32′04″E
Altitudine,25 m s.l.m.
Superficie,"120,19 km²"
Abitanti,18 486[1] (30-11-2025)
Densità,"153,81 ab./km²"
Frazioni,"Armarolo, Bagnarola, Cento, Dugliolo, Maddalena di Cazzano, Mezzolara, Prunaro, Riccardina, Vedrana, Vigorso"
Comuni confinanti,"Baricella, Castenaso, Granarolo dell'Emilia, Medicina, Minerbio, Molinella, Ozzano dell'Emilia"
Altre informazioni,Altre informazioni
Cod. postale,40054
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037008
Cod. catastale,B249
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 194 GG[3]"
Nome abitanti,budriesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Budrio,Budrio
Budrio – MappaPosizione del comune di Budrio nella città metropolitana di Bologna,Budrio – MappaPosizione del comune di Budrio nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
