Anzola dell'Emilia comune,Anzola dell'Emilia comune.1
,
Anzola dell'Emilia – Veduta,Anzola dell'Emilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Paolo Iovino (PD) dal 09-6-2024
Territorio,Territorio
Coordinate,44°32′50″N 11°11′44″E
Altitudine,38 m s.l.m.
Superficie,"36,6 km²"
Abitanti,12 376[1] (30-11-2025)
Densità,"338,14 ab./km²"
Frazioni,"Castelletto (Al Castlàtt), Lavino di Mezzo (Al Lavén), Ponte Samoggia (Al Pòunt dla Samûż), San Giacomo Del Martignone (San Iâcum), Santa Maria in Strada (La Badî)"
Comuni confinanti,"Bologna, Calderara di Reno, Castelfranco Emilia (MO), Sala Bolognese, San Giovanni in Persiceto, Valsamoggia, Zola Predosa"
Altre informazioni,Altre informazioni
Cod. postale,40011
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037001
Cod. catastale,A324
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 356 GG[3]"
Nome abitanti,anzolesi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Anzola dell'Emilia,Anzola dell'Emilia
Anzola dell'Emilia – MappaPosizione del comune di Anzola dell'Emilia nella città metropolitana di Bologna,Anzola dell'Emilia – MappaPosizione del comune di Anzola dell'Emilia nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
