Castello d'Àrgile comune,Castello d'Àrgile comune.1
,
Castello d'Àrgile – VedutaPalazzo Municipale,Castello d'Àrgile – VedutaPalazzo Municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Alessandro Erriquez (Progetto comune) dal 27-5-2019
Territorio,Territorio
Coordinate,44°40′52″N 11°17′48″E
Altitudine,23 m s.l.m.
Superficie,"29,07 km²"
Abitanti,6 700[1] (30-11-2025)
Densità,"230,48 ab./km²"
Frazioni,Venezzano-Mascarino
Comuni confinanti,"Argelato, Cento (FE), Pieve di Cento, Sala Bolognese, San Giorgio di Piano, San Giovanni in Persiceto, San Pietro in Casale"
Altre informazioni,Altre informazioni
Cod. postale,40050
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037017
Cod. catastale,C185
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 189 GG[3]"
Nome abitanti,"argilesi, marindulani"
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Castello d'Àrgile,Castello d'Àrgile
Castello d'Àrgile – MappaPosizione del comune di Castello d'Argile nella città metropolitana di Bologna,Castello d'Àrgile – MappaPosizione del comune di Castello d'Argile nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
