Valsamoggia comune,Valsamoggia comune.1
,
Valsamoggia – Veduta,Valsamoggia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Milena Zanna (PD) dal 10-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,44°30′27.86″N 11°05′53.7″E
Altitudine,93 m s.l.m.
Superficie,"178,13[1] km²"
Abitanti,32 257[2] (30-11-2025)
Densità,"181,09 ab./km²"
Frazioni,"Bazzano (sede comunale), Bersagliera, Bortolani, Calcara, Castello di Serravalle, Crespellano, Fagnano, Maiola, Mercatello, Merlano, Montebudello, Monteveglio, Muffa, Ponzano, Rodiano, Samoggia, San Biagio, San Prospero, Santa Croce, Savigno, Serravalle, Stiore-Oliveto, Tiola, Vedegheto, Vignola dei Conti, Zappolino, Ziribega[3][4][5][6][7]"
Comuni confinanti,"Anzola dell'Emilia, Castelfranco Emilia (MO), Guiglia (MO), Marzabotto, Monte San Pietro, San Cesario sul Panaro (MO), Savignano sul Panaro (MO), Vergato, Zocca (MO), Zola Predosa"
Altre informazioni,Altre informazioni
Cod. postale,"40053 (Bazzano); 40050 (Castello di Serravalle, Monteveglio); 40056 (Crespellano); 40060 (Savigno)"
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037061
Cod. catastale,M320
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[8]
Nome abitanti,"samoggini, valsamoggini, (erudito, disusato) samodiani"
Patrono,san Giovanni XXIII
Giorno festivo,11 ottobre[9]
Cartografia,Cartografia
Valsamoggia,Valsamoggia
Valsamoggia – MappaPosizione del comune di Valsamoggia nella città metropolitana di Bologna,Valsamoggia – MappaPosizione del comune di Valsamoggia nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
