Zola Predosa comune,Zola Predosa comune.1
,
Zola Predosa – Veduta,Zola Predosa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Davide Dall'Omo (PD) dal 27-5-2019
Territorio,Territorio
Coordinate,44°29′18″N 11°13′05″E
Altitudine,74 m s.l.m.
Superficie,"37,75 km²"
Abitanti,19 538[1] (30-11-2025)
Densità,"517,56 ab./km²"
Frazioni,"Gessi, Gesso, Lavino di Sopra, Madonna dei Prati di Tombe, Ponte Ronca, Riale, Rivabella, Tombe"
Comuni confinanti,"Anzola dell'Emilia, Bologna, Casalecchio di Reno, Monte San Pietro, Sasso Marconi, Valsamoggia"
Altre informazioni,Altre informazioni
Cod. postale,40069
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037060
Cod. catastale,M185
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 408 GG[3]"
Nome abitanti,zolesi
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Zola Predosa,Zola Predosa
Zola Predosa – MappaPosizione del comune di Zola Predosa nella città metropolitana di Bologna,Zola Predosa – MappaPosizione del comune di Zola Predosa nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
