Sala Bolognese comune,Sala Bolognese comune.1
,
"Sala Bolognese – VedutaLa chiesa parrocchiale di San Biagio, nella frazione di Bonconvento.","Sala Bolognese – VedutaLa chiesa parrocchiale di San Biagio, nella frazione di Bonconvento."
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Emanuele Bassi (Collaborazione e partecipazione per Sala Bolognese) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°37′49″N 11°16′34″E
Altitudine,25 m s.l.m.
Superficie,"45,64 km²"
Abitanti,8 452[1] (30-11-2025)
Densità,"185,19 ab./km²"
Frazioni,"Bagno di Piano, Bonconvento, Osteria Nuova, Padulle (capoluogo), Sala"
Comuni confinanti,"Anzola dell'Emilia, Argelato, Calderara di Reno, Castel Maggiore, Castello d'Argile, San Giovanni in Persiceto"
Altre informazioni,Altre informazioni
Cod. postale,40010
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037050
Cod. catastale,H678
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 338 GG[3]"
Nome abitanti,salesi
Patrono,"san Biagio (Sala), santa Maria Assunta (Padulle), san Michele (Bagno di Piano), san Petronio (Osteria Nuova)"
Giorno festivo,4 ottobre
Cartografia,Cartografia
Sala Bolognese,Sala Bolognese
Sala Bolognese – MappaPosizione del comune di Sala Bolognese nella città metropolitana di Bologna,Sala Bolognese – MappaPosizione del comune di Sala Bolognese nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
