Marzabotto comune,Marzabotto comune.1
,
Marzabotto – Veduta,Marzabotto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Valentina Cuppi (PD) dal 27-5-2019
Territorio,Territorio
Coordinate,44°20′N 11°12′E
Altitudine,130 m s.l.m.
Superficie,"74,53 km²"
Abitanti,6 921[1] (30-11-2025)
Densità,"92,86 ab./km²"
Frazioni,"Lama di Reno (La Lâma),Lama di Setta (La Lâma ed Sàtta),Pian di Venola (Piàn ed Vännla),Sibano (Sibàn),Sperticano (Sperdgàn),Sirano (Siràn),Pioppe (Al Fiòp),Pànico (Pàng),Canovella (Canvèla),San Silvestro (San Silvèster),Casaglia (Casâia),Luminasio (Alminés),Medelana (Madlèna),Quercia (Quérza),Gardeletta (Gardlàtta),Allocco (Alòc)"
Comuni confinanti,"Grizzana Morandi, Monte San Pietro, Monzuno, Sasso Marconi, Valsamoggia, Vergato"
Altre informazioni,Altre informazioni
Cod. postale,40043
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037036
Cod. catastale,B689
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 341 GG[3]"
Nome abitanti,marzabottesi
Patrono,san Giuseppe e san Carlo
Giorno festivo,19 marzo
Cartografia,Cartografia
Marzabotto,Marzabotto
Marzabotto – MappaPosizione del comune di Marzabotto nella città metropolitana di Bologna,Marzabotto – MappaPosizione del comune di Marzabotto nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
