Dozza comune,Dozza comune.1
,
Dozza – VedutaPiazza Zotti e il campanile,Dozza – VedutaPiazza Zotti e il campanile
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Luca Albertazzi (lista civica Progetto Dozza) dal 27-5-2014
Territorio,Territorio
Coordinate,44°21′32.35″N 11°37′39.68″E
Altitudine,190 m s.l.m.
Superficie,"24,23 km²"
Abitanti,6 507[1] (30-11-2025)
Densità,"268,55 ab./km²"
Frazioni,Toscanella
Comuni confinanti,"Casalfiumanese, Castel Guelfo di Bologna, Castel San Pietro Terme, Imola"
Altre informazioni,Altre informazioni
Cod. postale,40060
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037025
Cod. catastale,D360
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 427 GG[3]"
Nome abitanti,dozzesi
Patrono,"Madonna del Calanco (Dozza), Santa Maria del Carmine (Toscanella)"
Giorno festivo,martedì dopo Pentecoste
Cartografia,Cartografia
Dozza,Dozza
Dozza – MappaPosizione del comune di Dozza nella città metropolitana di Bologna,Dozza – MappaPosizione del comune di Dozza nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
