Camugnano comune,Camugnano comune.1
,
Camugnano – Veduta,Camugnano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Marco Masinara (lista civica Dialogo e futuro per Camugnano) dall'11-6-2018
Territorio,Territorio
Coordinate,44°10′N 11°06′E
Altitudine,692 m s.l.m.
Superficie,"96,6 km²"
Abitanti,1 911[1] (30-11-2025)
Densità,"19,78 ab./km²"
Frazioni,"Baigno, Bargi, Brasimone, Burzanella, Carpineta, Chiapporato, Guzzano, La Guardata, Mogne, San Damiano, Stagno, Trasserra, Verzuno, Vigo"
Comuni confinanti,"Cantagallo (PO), Castel di Casio, Castiglione dei Pepoli, Grizzana Morandi, Sambuca Pistoiese (PT), Vernio (PO)"
Altre informazioni,Altre informazioni
Cod. postale,40032
Prefisso,0534
Fuso orario,UTC+1
Codice ISTAT,037010
Cod. catastale,B572
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 997 GG[3]"
Nome abitanti,camugnanesi
Patrono,san Martino di Tours
Cartografia,Cartografia
Camugnano,Camugnano
Camugnano – MappaPosizione del comune di Camugnano nella città metropolitana di Bologna,Camugnano – MappaPosizione del comune di Camugnano nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
