Castel Maggiore comune,Castel Maggiore comune.1
,
Castel Maggiore – VedutaIl Palazzo comunale.,Castel Maggiore – VedutaIl Palazzo comunale.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Luca Vignoli (lista civica Cose nuove per Castel Maggiore) dal 25-6-2024
Territorio,Territorio
Coordinate,44°34′40″N 11°21′42″E
Altitudine,29 m s.l.m.
Superficie,"30,9 km²"
Abitanti,18 463[1] (30-11-2025)
Densità,"597,51 ab./km²"
Frazioni,"Castello, Boschetto, Castiglia, Garluda (o Lirone), Primo Maggio, Sabbiuno di Piano, Torre Verde, Trebbo di Reno, Osteria del Gallo"
Comuni confinanti,"Argelato, Bentivoglio, Bologna, Calderara di Reno, Granarolo dell'Emilia, Sala Bolognese"
Altre informazioni,Altre informazioni
Cod. postale,40013
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037019
Cod. catastale,C204
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 224 GG[3]"
Nome abitanti,castelmaggioresi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Castel Maggiore,Castel Maggiore
Castel Maggiore – MappaPosizione del comune di Castel Maggiore nella città metropolitana di Bologna,Castel Maggiore – MappaPosizione del comune di Castel Maggiore nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
