Granarolo dell'Emilia comune,Granarolo dell'Emilia comune.1
,
Granarolo dell'Emilia – VedutaIl Palazzo Municipale,Granarolo dell'Emilia – VedutaIl Palazzo Municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Alessandro Ricci (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°33′15″N 11°26′38″E
Altitudine,28 m s.l.m.
Superficie,"34,37 km²"
Abitanti,13 081[1] (30-11-2025)
Densità,"380,59 ab./km²"
Frazioni,"Cadriano, Lovoleto, Quarto Inferiore, Viadagola"
Comuni confinanti,"Bentivoglio, Bologna, Budrio, Castel Maggiore, Castenaso, Minerbio"
Altre informazioni,Altre informazioni
Cod. postale,40057
Prefisso,051
Fuso orario,UTC+1
Codice ISTAT,037030
Cod. catastale,E136
Targa,BO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 162 GG[3]"
Nome abitanti,granarolesi
Patrono,san Vitale
Giorno festivo,28 aprile
Cartografia,Cartografia
Granarolo dell'Emilia,Granarolo dell'Emilia
Granarolo dell'Emilia – MappaPosizione del comune di Granarolo dell'Emilia nella città metropolitana di Bologna,Granarolo dell'Emilia – MappaPosizione del comune di Granarolo dell'Emilia nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
