Castel del Rio comune,Castel del Rio comune.1
,
Castel del Rio – VedutaVista del paese da Palazzo Alidosi,Castel del Rio – VedutaVista del paese da Palazzo Alidosi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Alberto Baldazzi (lista civica di centro-sinistra Per il tuo comune: Castel del Rio) dal 16-5-2011
Territorio,Territorio
Coordinate,44°12′50″N 11°30′15″E
Altitudine,215 m s.l.m.
Superficie,"52,58 km²"
Abitanti,1 224[1] (30-11-2025)
Densità,"23,28 ab./km²"
Frazioni,"Belvedere, Giugnola, Moraduccio, Valsalva"
Comuni confinanti,"Casalfiumanese, Casola Valsenio (RA), Firenzuola (FI), Fontanelice, Monterenzio, Palazzuolo sul Senio (FI)"
Altre informazioni,Altre informazioni
Cod. postale,40022
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037014
Cod. catastale,C086
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 462 GG[3]"
Nome abitanti,alidosiani
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Castel del Rio,Castel del Rio
Castel del Rio – MappaPosizione del comune di Castel del Rio nella città metropolitana di Bologna,Castel del Rio – MappaPosizione del comune di Castel del Rio nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
