Borgo Tossignano comune,Borgo Tossignano comune.1
,
Borgo Tossignano – VedutaBorgo e Tossignano,Borgo Tossignano – VedutaBorgo e Tossignano
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Mauro Ghini (PD) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°17′N 11°35′E
Altitudine,102 m s.l.m.
Superficie,"29,27 km²"
Abitanti,3 237[1] (30-11-2025)
Densità,"110,59 ab./km²"
Frazioni,"Tossignano, Codrignano"
Comuni confinanti,"Casalfiumanese, Casola Valsenio (RA), Fontanelice, Imola, Riolo Terme (RA)"
Altre informazioni,Altre informazioni
Cod. postale,40021
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037007
Cod. catastale,B044
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 302 GG[3]"
Nome abitanti,"borghigiani, tossignanesi"
Patrono,san Bartolomeo Apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Borgo Tossignano,Borgo Tossignano
Borgo Tossignano – MappaPosizione del comune di Borgo Tossignano nella città metropolitana di Bologna,Borgo Tossignano – MappaPosizione del comune di Borgo Tossignano nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
