Fontanelice comune,Fontanelice comune.1
,
Fontanelice – Veduta,Fontanelice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Città metropolitana,Bologna
Amministrazione,Amministrazione
Sindaco,Gabriele Meluzzi (lista civica Insieme per Fontanelice) dal 27-5-2019
Territorio,Territorio
Coordinate,44°16′N 11°34′E
Altitudine,165 m s.l.m.
Superficie,"36,56 km²"
Abitanti,1 905[1] (30-11-2025)
Densità,"52,11 ab./km²"
Frazioni,"Campomoro, Fornione, Gaggio, La Maddalena, Posseggio, Prato e San Giovanni"
Comuni confinanti,"Borgo Tossignano, Casalfiumanese, Casola Valsenio (RA), Castel del Rio"
Altre informazioni,Altre informazioni
Cod. postale,40025
Prefisso,0542
Fuso orario,UTC+1
Codice ISTAT,037026
Cod. catastale,D668
Targa,BO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 423 GG[3]"
Nome abitanti,fontanelicesi o fontanesi
Patrono,Natività di Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Fontanelice,Fontanelice
Fontanelice – MappaPosizione del comune di Fontanelice nella città metropolitana di Bologna,Fontanelice – MappaPosizione del comune di Fontanelice nella città metropolitana di Bologna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
