Valderice comune,Valderice comune.1
,
Valderice – VedutaValderice e il suo territorio visti da Erice,Valderice – VedutaValderice e il suo territorio visti da Erice
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Francesco Stabile (lista civica di Centrodestra) dal 12-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,38°03′N 12°37′E
Altitudine,240 m s.l.m.
Superficie,"52,96 km²"
Abitanti,11 221[1] (30-11-2025)
Densità,"211,88 ab./km²"
Frazioni,"Acquasorbe, Bonagia, Casalbianco, Chiesanuova, Crocci, Crocevie, Cubastacca, Fico, Lido Valderice, Misericordia, Ragosia, Sant'Andrea, San Marco, Santa Croce, Lenzi."
Comuni confinanti,"Buseto Palizzolo, Custonaci, Erice"
Altre informazioni,Altre informazioni
Cod. postale,91019
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081022
Cod. catastale,G319
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 076 GG[3]"
Nome abitanti,valdericini
Patrono,Cristo Re
Giorno festivo,26 novembre
Cartografia,Cartografia
Valderice,Valderice
Valderice – MappaPosizione del comune di Valderice nel libero consorzio comunale di Trapani,Valderice – MappaPosizione del comune di Valderice nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
