Castelvetrano comune,Castelvetrano comune.1
,
Castelvetrano – VedutaPiazza Carlo d'Aragona (detta anche Sistema delle Piazze),Castelvetrano – VedutaPiazza Carlo d'Aragona (detta anche Sistema delle Piazze)
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Giovanni Lentini (lista civica di centro-destra) dall'11-6-2024
Territorio,Territorio
Coordinate,37°40′43″N 12°47′30″E
Altitudine,187 m s.l.m.
Superficie,"209,76 km²"
Abitanti,29 354[1] (30-11-2025)
Densità,"139,94 ab./km²"
Frazioni,"Marinella, Triscina Selinunte"
Comuni confinanti,"Campobello di Mazara, Mazara del Vallo, Menfi (AG), Montevago (AG), Partanna, Salemi, Santa Ninfa"
Altre informazioni,Altre informazioni
Cod. postale,91022
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081006
Cod. catastale,C286
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 055 GG[3]"
Nome abitanti,castelvetranesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castelvetrano,Castelvetrano
Castelvetrano – MappaPosizione del comune di Castelvetrano nel libero consorzio comunale di Trapani,Castelvetrano – MappaPosizione del comune di Castelvetrano nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
