Petrosino comune,Petrosino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Giacomo Anastasi (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°42′45.76″N 12°29′58.7″E
Altitudine,16 m s.l.m.
Superficie,"45,28 km²"
Abitanti,7 878[1] (30-11-2025)
Densità,"173,98 ab./km²"
Comuni confinanti,"Marsala, Mazara del Vallo"
Altre informazioni,Altre informazioni
Cod. postale,91020
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081024
Cod. catastale,M281
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 936 GG[3]"
Nome abitanti,petrosileni
Patrono,Maria Santissima delle Grazie
Giorno festivo,31 maggio
Cartografia,Cartografia
Petrosino,Petrosino
Petrosino – MappaPosizione del comune di Petrosino nel libero consorzio comunale di Trapani,Petrosino – MappaPosizione del comune di Petrosino nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
