Marsala comune,Marsala comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Marsala – Veduta,Marsala – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Massimo Grillo (UdC) dal 5-10-2020
Territorio,Territorio
Coordinate,37°47′53″N 12°26′03″E
Altitudine,3 m s.l.m.
Superficie,"243,26 km²"
Abitanti,79 551[1] (30-11-2025)
Densità,"327,02 ab./km²"
Frazioni,elenco
Comuni confinanti,"Mazara del Vallo, Misiliscemi, Petrosino, Salemi, Trapani"
Altre informazioni,Altre informazioni
Cod. postale,91025
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081011
Cod. catastale,E974
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 816 GG[3]"
Nome abitanti,marsalesi o lilibetani
Patrono,Maria Santissima della Cava di Marsala (patrona principale e speciale protettrice) san Giovanni Battista (compatrono e protettore) san Francesco di Paola (Vice patrono e coprotettore della città e patrono del porto di Marsala)[4]
Giorno festivo,19 gennaio (Madonna della Cava) 24 giugno (San Giovanni Battista)
Cartografia,Cartografia
Marsala,Marsala
Marsala – MappaPosizione del comune di Marsala nel libero consorzio comunale di Trapani,Marsala – MappaPosizione del comune di Marsala nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
