Erice comune,Erice comune.1
,
Erice – VedutaPanoramica della sommità del monte con il centro cittadino,Erice – VedutaPanoramica della sommità del monte con il centro cittadino
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Daniela Toscano (PD) dal 14-6-2017 (2º mandato dal 16-6-2022)
Territorio,Territorio
Coordinate,38°02′15″N 12°35′15″E
Altitudine,751 m s.l.m.
Superficie,"47,34 km²"
Abitanti,25 556[1] (30-11-2025)
Densità,"539,84 ab./km²"
Frazioni,"Ballata, Casa Santa, Crocefissello, Napola, Pizzolungo, Rigaletta, San Cusumano, Torretta"
Comuni confinanti,"Buseto Palizzolo, Paceco, Trapani, Valderice"
Altre informazioni,Altre informazioni
Cod. postale,91016
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081008
Cod. catastale,D423
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 648 GG[3]"
Nome abitanti,ericini
Patrono,Maria Santissima di Custonaci
Giorno festivo,ultimo mercoledì di agosto
Cartografia,Cartografia
Erice,Erice
Erice – MappaPosizione del comune di Erice nel libero consorzio comunale di Trapani,Erice – MappaPosizione del comune di Erice nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
