Santa Ninfa comune,Santa Ninfa comune.1
,
Santa Ninfa – Veduta,Santa Ninfa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Carlo Ferreri (lista civica) dal 31-5-2023
Territorio,Territorio
Coordinate,37°46′N 12°53′E
Altitudine,475 m s.l.m.
Superficie,"60,94 km²"
Abitanti,4 715[1] (30-11-2025)
Densità,"77,37 ab./km²"
Comuni confinanti,"Calatafimi Segesta, Castelvetrano, Gibellina, Partanna, Salaparuta, Salemi"
Altre informazioni,Altre informazioni
Cod. postale,91029
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081019
Cod. catastale,I291
Targa,TP
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 231 GG[3]"
Nome abitanti,santaninfesi
Patrono,santa Ninfa
Giorno festivo,12 novembre
Cartografia,Cartografia
Santa Ninfa,Santa Ninfa
Santa Ninfa – MappaPosizione del comune di Santa Ninfa nel libero consorzio comunale di Trapani,Santa Ninfa – MappaPosizione del comune di Santa Ninfa nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
