Partanna comune,Partanna comune.1
,
Partanna – Veduta,Partanna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Francesco Li Vigni (lista civica Nuove visioni con Li Vigni sindaco) dal 30-5-2023
Territorio,Territorio
Coordinate,37°43′44″N 12°53′22″E
Altitudine,424 m s.l.m.
Superficie,"82,73 km²"
Abitanti,9 842[1] (30-11-2025)
Densità,"118,97 ab./km²"
Comuni confinanti,"Castelvetrano, Montevago (AG), Salaparuta, Santa Ninfa"
Altre informazioni,Altre informazioni
Cod. postale,91028
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081015
Cod. catastale,G347
Targa,TP
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 236 GG[3]"
Nome abitanti,partannesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Partanna,Partanna
Partanna – MappaPosizione del comune di Partanna nel libero consorzio comunale di Trapani,Partanna – MappaPosizione del comune di Partanna nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
