Salemi comune,Salemi comune.1
,
Salemi – Veduta,Salemi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Vito Scalisi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,37°49′N 12°48′E
Altitudine,446 m s.l.m.
Superficie,"182,42 km²"
Abitanti,9 725[1] (30-11-2025)
Densità,"53,31 ab./km²"
Frazioni,"Bagnitelli, Borgesati, Bovarella, Cuba – Mokarta, Filci, Fontanabianca, Fiumelungo, Gorgazzo, Monte Rose, Passo Calcara, Pioppo, Pitrazzi, Polizo, Filci Castagna, Pusillesi, San Ciro, Sinagia, Terragialla, Paradiso-San Giuseppe, Uddu, Ulmi, Settesoldi"
Comuni confinanti,"Calatafimi Segesta, Castelvetrano, Marsala, Mazara del Vallo, Gibellina, Santa Ninfa, Trapani, Vita"
Altre informazioni,Altre informazioni
Cod. postale,91018
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081018
Cod. catastale,H700
Targa,TP
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,salemitani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Salemi,Salemi
Salemi – MappaPosizione del comune di Salemi nel libero consorzio comunale di Trapani,Salemi – MappaPosizione del comune di Salemi nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
