Mazara del Vallo comune,Mazara del Vallo comune.1
,
Mazara del Vallo – VedutaVeduta di Mazara del Vallo,Mazara del Vallo – VedutaVeduta di Mazara del Vallo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Salvatore Quinci (lista civica) dal 12-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,37°39′05.98″N 12°35′15.04″E
Altitudine,8 m s.l.m.
Superficie,"274,64 km²"
Abitanti,50 054[1] (30-11-2025)
Densità,"182,25 ab./km²"
Frazioni,"Borgata Costiera, Mazara Due"
Comuni confinanti,"Campobello di Mazara, Castelvetrano, Marsala, Petrosino, Salemi"
Altre informazioni,Altre informazioni
Cod. postale,91026 91020 (Borgata Costiera)
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081012
Cod. catastale,F061
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 927 GG[3]"
Nome abitanti,mazaresi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Mazara del Vallo,Mazara del Vallo
Mazara del Vallo – MappaPosizione del comune di Mazara del Vallo nel libero consorzio comunale di Trapani,Mazara del Vallo – MappaPosizione del comune di Mazara del Vallo nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
