Pantelleria comune,Pantelleria comune.1
,
Pantelleria – VedutaPanorama,Pantelleria – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Fabrizio D'Ancona (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,36°47′15″N 11°59′33″E
Altitudine,5 m s.l.m.
Superficie,"84,53 km²"
Abitanti,7 157[1] (30-11-2025)
Densità,"84,67 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,nessuno (comune insulare)
Altre informazioni,Altre informazioni
Cod. postale,91017
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081014
Cod. catastale,G315
Targa,TP
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona B, 717 GG[4]"
Nome abitanti,panteschi
Patrono,Fortunato di Lecce
Giorno festivo,26 agosto
Cartografia,Cartografia
Pantelleria,Pantelleria
Pantelleria – MappaPosizione del comune di Pantelleria nel libero consorzio comunale di Trapani,Pantelleria – MappaPosizione del comune di Pantelleria nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
