Favignana comune,Favignana comune.1
,
"Favignana – VedutaPanorama del centro abitato, 2013","Favignana – VedutaPanorama del centro abitato, 2013"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Giuseppe Pagoto (centro-sinistra) dal 26-5-2025
Territorio,Territorio
Coordinate,37°56′N 12°20′E
Altitudine,6 m s.l.m.
Superficie,"38,32 km²"
Abitanti,4 547[1] (30-11-2025)
Densità,"118,66 ab./km²"
Frazioni,"Balate, Corso, Lèvanzo, Marèttimo, Pozzo Ponente, Quattro Vanelle"
Comuni confinanti,nessuno (comune insulare)
Altre informazioni,Altre informazioni
Cod. postale,91023
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081009
Cod. catastale,D518
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 814 GG[3]"
Nome abitanti,favignanesi
Patrono,Santissimo Crocifisso
Giorno festivo,14 settembre
Cartografia,Cartografia
Favignana,Favignana
Favignana – MappaPosizione del comune di Favignana nel libero consorzio comunale di Trapani,Favignana – MappaPosizione del comune di Favignana nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
