Campobello di Mazara comune,Campobello di Mazara comune.1
,
Campobello di Mazara – VedutaIl faro di Torretta Granitola,Campobello di Mazara – VedutaIl faro di Torretta Granitola
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Giuseppe Castiglione[1] (Lista civica) dal 18-11-2014 (2º mandato dal 4-10-2020)
Territorio,Territorio
Coordinate,37°38′N 12°45′E
Altitudine,110 m s.l.m.
Superficie,"65,83 km²"
Abitanti,11 123[2] (30-11-2025)
Densità,"168,97 ab./km²"
Frazioni,"Torretta Granitola, Tre Fontane"
Comuni confinanti,"Castelvetrano, Mazara del Vallo"
Altre informazioni,Altre informazioni
Cod. postale,91021
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081004
Cod. catastale,B521
Targa,TP
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 038 GG[4]"
Nome abitanti,campobellesi
Patrono,san Vito martire
Giorno festivo,15 giugno
Cartografia,Cartografia
Campobello di Mazara,Campobello di Mazara
Campobello di Mazara – MappaPosizione del comune di Campobello di Mazara nel libero consorzio comunale di Trapani,Campobello di Mazara – MappaPosizione del comune di Campobello di Mazara nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
