Alcamo comune,Alcamo comune.1
,
Alcamo – Veduta,Alcamo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Domenico Surdi (M5S) dal 21-6-2016 (2º mandato dal 22-10-2021)
Territorio,Territorio
Coordinate,37°58′N 12°58′E
Altitudine,256 m s.l.m.
Superficie,"130,79 km²"
Abitanti,44 685[1] (30-11-2025)
Densità,"341,65 ab./km²"
Frazioni,"Alcamo Marina, Fico"
Comuni confinanti,"Balestrate (PA), Calatafimi Segesta (TP), Camporeale (PA), Castellammare del Golfo (TP), Partinico (PA)"
Altre informazioni,Altre informazioni
Cod. postale,91011
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081001
Cod. catastale,A176
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 140 GG[3]"
Nome abitanti,alcamesi
Patrono,Maria Santissima dei Miracoli
Giorno festivo,21 giugno
Cartografia,Cartografia
Alcamo,Alcamo
Alcamo – MappaPosizione del comune di Alcamo nel libero consorzio comunale di Trapani,Alcamo – MappaPosizione del comune di Alcamo nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
