Paceco comune,Paceco comune.1
,
Paceco – VedutaPaceco (sullo sfondo) e la costa vicina,Paceco – VedutaPaceco (sullo sfondo) e la costa vicina
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Aldo Grammatico (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,37°58′43.53″N 12°33′37.01″E
Altitudine,36 m s.l.m.
Superficie,"58,01 km²"
Abitanti,10 552[1] (30-11-2025)
Densità,"181,9 ab./km²"
Frazioni,"Dattilo, Nubia"
Comuni confinanti,"Erice, Misiliscemi, Trapani"
Altre informazioni,Altre informazioni
Cod. postale,91027
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081013
Cod. catastale,G208
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 848 GG[3]"
Nome abitanti,pacecoti
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Paceco,Paceco
Paceco – MappaPosizione del comune di Paceco nel libero consorzio comunale di Trapani,Paceco – MappaPosizione del comune di Paceco nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
