Castellammare del Golfo comune,Castellammare del Golfo comune.1
,
Castellammare del Golfo – VedutaPanorama di Castellammare del Golfo,Castellammare del Golfo – VedutaPanorama di Castellammare del Golfo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Giuseppe Fausto (lista civica È ora) dal 29-5-2023
Territorio,Territorio
Coordinate,38°01′35″N 12°52′50″E
Altitudine,26 m s.l.m.
Superficie,"127,32 km²"
Abitanti,14 636[1] (30-11-2025)
Densità,"114,95 ab./km²"
Frazioni,"Balata di Baida, Scopello"
Comuni confinanti,"Alcamo, Buseto Palizzolo, Calatafimi Segesta, Custonaci, San Vito Lo Capo"
Altre informazioni,Altre informazioni
Cod. postale,91014
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081005
Cod. catastale,C130
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 820 GG[3]"
Nome abitanti,castellammaresi
Patrono,Maria Santissima del Soccorso
Giorno festivo,21 agosto
Cartografia,Cartografia
Castellammare del Golfo,Castellammare del Golfo
Castellammare del Golfo – MappaPosizione del comune di Castellammare del Golfo nel libero consorzio comunale di Trapani,Castellammare del Golfo – MappaPosizione del comune di Castellammare del Golfo nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
