Custonaci comune,Custonaci comune.1
,
Custonaci – VedutaPanorama di Custonaci bassa,Custonaci – VedutaPanorama di Custonaci bassa
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Fabrizio Fonte (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,38°04′43.78″N 12°40′30.45″E
Altitudine,186 m s.l.m.
Superficie,"69,9 km²"
Abitanti,5 226[1] (30-11-2025)
Densità,"74,76 ab./km²"
Frazioni,"Assieni, Baglio Belle Scurati, Baglio Messina, Baglio Vultaggio, Cornino, Frassino, Purgatorio, Santa Lucia, Sperone, Visicari"
Comuni confinanti,"Buseto Palizzolo, Castellammare del Golfo, San Vito Lo Capo, Valderice"
Altre informazioni,Altre informazioni
Cod. postale,91015
Prefisso,0923
Fuso orario,UTC+1
Codice ISTAT,081007
Cod. catastale,D234
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 015 GG[3]"
Nome abitanti,custonacesi
Patrono,Madonna di Custonaci
Giorno festivo,ultimo mercoledì di agosto
Cartografia,Cartografia
Custonaci,Custonaci
Custonaci – MappaPosizione del comune di Custonaci nel libero consorzio comunale di Trapani,Custonaci – MappaPosizione del comune di Custonaci nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
