Calatafimi Segesta comune,Calatafimi Segesta comune.1
,
Calatafimi Segesta – VedutaVeduta,Calatafimi Segesta – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Francesco Gruppuso (lista civica) dal 12-10-2021
Territorio,Territorio
Coordinate,37°54′N 12°51′E
Altitudine,338 m s.l.m.
Superficie,"154,86 km²"
Abitanti,5 956[1] (30-11-2025)
Densità,"38,46 ab./km²"
Frazioni,Sasi
Comuni confinanti,"Alcamo, Buseto Palizzolo, Castellammare del Golfo, Gibellina, Monreale (PA), Salemi, Santa Ninfa, Trapani, Vita"
Altre informazioni,Altre informazioni
Cod. postale,91013
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081003
Cod. catastale,B385
Targa,TP
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 230 GG[3]"
Nome abitanti,calatafimesi
Patrono,"santissimo Crocifisso, Maria SS. di Giubino"
Giorno festivo,"3 maggio, quarta domenica di settembre"
Cartografia,Cartografia
Calatafimi Segesta,Calatafimi Segesta
Calatafimi Segesta – MappaPosizione del comune di Calatafimi Segesta nel libero consorzio comunale di Trapani,Calatafimi Segesta – MappaPosizione del comune di Calatafimi Segesta nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
