Gibellina comune,Gibellina comune.1
,
Gibellina – Veduta,Gibellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Libero consorzio comunale,Trapani
Amministrazione,Amministrazione
Sindaco,Salvatore Sutera (lista civica Continuiamo insieme con Sutera sindaco) dal 1-6-2015 (2º mandato dal 6-10-2020)
Territorio,Territorio
Coordinate,37°48′23.26″N 12°52′15.24″E
Altitudine,233 m s.l.m.
Superficie,"46,57 km²"
Abitanti,3 643[1] (30-11-2025)
Densità,"78,23 ab./km²"
Frazioni,"Ruderi di Gibellina[2], Villaggio Madonna delle Grazie[3]"
Comuni confinanti,"Calatafimi Segesta, Monreale (PA), Poggioreale, Salaparuta, Salemi, Santa Ninfa"
Altre informazioni,Altre informazioni
Cod. postale,91024
Prefisso,0924
Fuso orario,UTC+1
Codice ISTAT,081010
Cod. catastale,E023
Targa,TP
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona C, 1 263 GG[5]"
Nome abitanti,gibellinesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Gibellina,Gibellina
Gibellina – MappaPosizione del comune di Gibellina nel libero consorzio comunale di Trapani,Gibellina – MappaPosizione del comune di Gibellina nel libero consorzio comunale di Trapani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
