Paderno Dugnano comune,Paderno Dugnano comune.1
Città di Paderno Dugnano,Città di Paderno Dugnano
,
Paderno Dugnano – VedutaLa chiesa di Santa Maria Nascente,Paderno Dugnano – VedutaLa chiesa di Santa Maria Nascente
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Anna Varisco (centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,45°34′19″N 9°10′09″E
Altitudine,163 m s.l.m.
Superficie,"14,11 km²"
Abitanti,47 924[1] (30-11-2025)
Densità,"3 396,46 ab./km²"
Frazioni,"Paderno, Dugnano, Incirano, Palazzolo Milanese, Cassina Amata, Villaggio Ambrosiano, Calderara"
Comuni confinanti,"Bollate, Cinisello Balsamo, Cormano, Cusano Milanino, Limbiate (MB), Nova Milanese (MB), Senago, Varedo (MB)"
Altre informazioni,Altre informazioni
Cod. postale,20037
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015166
Cod. catastale,G220
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,padernesi
Patrono,sant'Ambrogio
Cartografia,Cartografia
Paderno Dugnano,Paderno Dugnano
Paderno Dugnano – MappaPosizione del comune di Paderno Dugnano all'interno della città metropolitana di Milano,Paderno Dugnano – MappaPosizione del comune di Paderno Dugnano all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
