Truccazzano comune,Truccazzano comune.1
,
Truccazzano – VedutaChiesa parrocchiale di S. Michele,Truccazzano – VedutaChiesa parrocchiale di S. Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Franco De Gregorio (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°29′N 9°28′E
Altitudine,108 m s.l.m.
Superficie,"21,98 km²"
Abitanti,5 785[1] (30-11-2025)
Densità,"263,19 ab./km²"
Frazioni,"Albignano, Cavaione, Corneliano Bertario, Incugnate"
Comuni confinanti,"Cassano d'Adda, Comazzo (LO), Liscate, Melzo, Pozzuolo Martesana, Rivolta d'Adda (CR)"
Altre informazioni,Altre informazioni
Cod. postale,20060
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015224
Cod. catastale,L454
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,truccazzanesi
Cartografia,Cartografia
Truccazzano,Truccazzano
Truccazzano – MappaPosizione del comune di Truccazzano nella città metropolitana di Milano,Truccazzano – MappaPosizione del comune di Truccazzano nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
