Santo Stefano Ticino comune,Santo Stefano Ticino comune.1
,
Santo Stefano Ticino – VedutaLa parrocchiale di Santo Stefano,Santo Stefano Ticino – VedutaLa parrocchiale di Santo Stefano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Dario Tunesi (centro-destra) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°29′N 8°55′E
Altitudine,152 m s.l.m.
Superficie,"5,01 km²"
Abitanti,4 987[1] (30-11-2025)
Densità,"995,41 ab./km²"
Frazioni,"Località: Robarello, Cascina Barera"
Comuni confinanti,"Arluno, Corbetta, Magenta, Marcallo con Casone, Ossona"
Altre informazioni,Altre informazioni
Cod. postale,20010
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015200
Cod. catastale,I361
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 656 GG[3]"
Nome abitanti,stefanesi
Patrono,sant'Anna
Giorno festivo,26 dicembre e 26 luglio
Cartografia,Cartografia
Santo Stefano Ticino,Santo Stefano Ticino
Santo Stefano Ticino – MappaPosizione del comune di Santo Stefano Ticino nella città metropolitana di Milano,Santo Stefano Ticino – MappaPosizione del comune di Santo Stefano Ticino nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
