Inveruno comune,Inveruno comune.1
,
Inveruno – Veduta,Inveruno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Nicoletta Saveri (lista civica di centro-sinistra Rinnovamento popolare) dal 10-6-2024
Territorio,Territorio
Coordinate,45°31′N 8°51′E
Altitudine,161 m s.l.m.
Superficie,"12,14 km²"
Abitanti,8 571[1] (30-11-2025)
Densità,"706,01 ab./km²"
Frazioni,Furato
Comuni confinanti,"Arconate, Buscate, Busto Garolfo, Casorezzo, Cuggiono, Mesero, Ossona"
Altre informazioni,Altre informazioni
Cod. postale,20010 e 20001
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015113
Cod. catastale,E313
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 609 GG[3]"
Nome abitanti,inverunesi
Patrono,"san Martino, santa Teresa d'Avila"
Giorno festivo,11 novembre
Cartografia,Cartografia
Inveruno,Inveruno
Inveruno – MappaPosizione del comune di Inveruno nella città metropolitana di Milano,Inveruno – MappaPosizione del comune di Inveruno nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
