Bresso comune,Bresso comune.1
Città di Bresso,Città di Bresso
,
Bresso – VedutaVia Cavour,Bresso – VedutaVia Cavour
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Simone Cairo (centro-destra) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,45°32′N 9°11′E
Altitudine,142 m s.l.m.
Superficie,"3,38 km²"
Abitanti,26 677[1] (30-11-2025)
Densità,"7 892,6 ab./km²"
Comuni confinanti,"Cinisello Balsamo, Cormano, Cusano Milanino, Milano, Sesto San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,20091
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015032
Cod. catastale,B162
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 404 GG[3]"
Nome abitanti,bressesi
Patrono,Madonna del Pilastrello
Giorno festivo,"prima domenica di ottobre in concomitanza della sagra della Madonna del Pilastrello, cui è dedicato un santuario cittadino"
Cartografia,Cartografia
Bresso,Bresso
Bresso – MappaPosizione del comune di Bresso all'interno della città metropolitana di Milano,Bresso – MappaPosizione del comune di Bresso all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
