Magenta comune,Magenta comune.1
,
Magenta – VedutaPanorama della città di Magenta con la basilica di San Martino,Magenta – VedutaPanorama della città di Magenta con la basilica di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Luca Del Gobbo (centro-destra) dal 26-6-2022
Territorio,Territorio
Coordinate,45°27′36.9″N 8°52′35.8″E
Altitudine,138 m s.l.m.
Superficie,"21,99 km²"
Abitanti,25 023[1] (30-11-2025)
Densità,"1 137,93 ab./km²"
Frazioni,"Ponte Nuovo, Ponte Vecchio Località: Preloreto, Peralza"
Comuni confinanti,"Boffalora sopra Ticino, Cerano (NO), Corbetta, Marcallo con Casone, Robecco sul Naviglio, Santo Stefano Ticino"
Altre informazioni,Altre informazioni
Cod. postale,20013
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015130
Cod. catastale,E801
Targa,MI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 532 GG[3]"
Nome abitanti,magentini
Patrono,"san Martino di Tours, san Rocco, san Biagio"
Giorno festivo,"11 novembre, 16 agosto, 3 febbraio"
Cartografia,Cartografia
Magenta,Magenta
Magenta – MappaPosizione del comune di Magenta all'interno della città metropolitana di Milano,Magenta – MappaPosizione del comune di Magenta all'interno della città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
