Bussero comune,Bussero comune.1
,
Bussero – VedutaVilla Sioli Legnani,Bussero – VedutaVilla Sioli Legnani
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Città metropolitana,Milano
Amministrazione,Amministrazione
Sindaco,Massimo Vadori (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°32′N 9°22′E
Altitudine,141 m s.l.m.
Superficie,"4,59 km²"
Abitanti,8 388[1] (30-11-2025)
Densità,"1 827,45 ab./km²"
Comuni confinanti,"Carugate, Cassina de' Pecchi, Cernusco sul Naviglio, Gorgonzola, Pessano con Bornago"
Altre informazioni,Altre informazioni
Cod. postale,20041
Prefisso,02
Fuso orario,UTC+1
Codice ISTAT,015040
Cod. catastale,B292
Targa,MI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,busseresi
Patrono,santi Nazaro e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Bussero,Bussero
Bussero – MappaPosizione del comune di Bussero nella città metropolitana di Milano,Bussero – MappaPosizione del comune di Bussero nella città metropolitana di Milano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
